Trial,trialAudio,Group,Block,TrainingTrialType,target,distractor
1,n_stingray.mp3,A,training,famfam,stingray.png,flashcard.png
2,n_oboe.mp3,A,training,famfam,oboe.png,curtain.png
3,n_acorn.mp3,A,training,famfam,acorn.png,sandbox.png
4,n_payphone.mp3,A,training,famfam,payphone.png,windmill.png
5,n_notepad.mp3,A,training,famfam,notepad.png,beehive.png
6,n_locket.mp3,A,training,famfam,locket.png,beetle.png
7,n_lanyard.mp3,A,training,famfam,lanyard.png,pinwheel.png
8,n_kayak.mp3,A,training,famfam,kayak.png,earplug.png
9,n_tassel.mp3,A,training,famfam,tassel.png,hammock.png
10,n_hardhat.mp3,A,training,famfam,hardhat.png,buckle.png
11,n_saddle.mp3,A,training,famfam,saddle.png,puppet.png
12,n_locker.mp3,A,training,famfam,locker.png,pigeon.png
13,n_fishhook.mp3,A,training,famfam,fishhook.png,mammoth.png
14,n_earmuff.mp3,A,training,famfam,earmuff.png,slingshot.png
15,n_barrel.mp3,A,training,famfam,barrel.png,anchor.png
16,n_wagon.mp3,A,training,famfam,wagon.png,seaweed.png
17,n_snorkel.mp3,A,training,famfam,snorkel.png,pickaxe.png
18,n_sculpture.mp3,A,training,famfam,sculpture.png,barstool.png
19,n_naysis.mp3,A,training,unfamfam,naysis.png,cello.png
20,n_crambo.mp3,A,training,unfamfam,crambo.png,treadmill.png
21,n_boga.mp3,A,training,unfamfam,boga.png,scalpel.png
22,n_staper.mp3,A,training,unfamfam,staper.png,coatrack.png
23,n_stamzee.mp3,A,training,unfamfam,stamzee.png,corkscrew.png
24,n_kobber.mp3,A,training,unfamfam,kobber.png,mattress.png
25,n_tirpa.mp3,A,training,unfamfam,tirpa.png,castle.png
26,n_stimmer.mp3,A,training,unfamfam,stimmer.png,hanger.png
27,n_veelut.mp3,A,training,unfamfam,veelut.png,stroller.png
28,n_lorter.mp3,A,training,unfamfam,lorter.png,thumbprint.png
29,n_lasvit.mp3,A,training,unfamfam,lasvit.png,yoyo.png
30,n_danter.mp3,A,training,unfamfam,danter.png,frisbee.png
31,n_zicky.mp3,A,training,unfamfam,zicky.png,lantern.png
32,n_mubby.mp3,A,training,unfamfam,mubby.png,clothespin.png
33,n_meeva.mp3,A,training,unfamfam,meeva.png,skateboard.png
34,n_zable.mp3,A,training,unfamfam,zable.png,compass.png
35,n_zeenum.mp3,A,training,unfamfam,zeenum.png,cactus.png
36,n_findo.mp3,A,training,unfamfam,findo.png,dumbbell.png
37,n_flashcard.mp3,A,training,famfam,flashcard.png,stingray.png
38,n_curtain.mp3,A,training,famfam,curtain.png,oboe.png
39,n_sandbox.mp3,A,training,famfam,sandbox.png,acorn.png
40,n_windmill.mp3,A,training,famfam,windmill.png,payphone.png
41,n_beehive.mp3,A,training,famfam,beehive.png,notepad.png
42,n_beetle.mp3,A,training,famfam,beetle.png,locket.png
43,n_pinwheel.mp3,A,training,famfam,pinwheel.png,lanyard.png
44,n_earplug.mp3,A,training,famfam,earplug.png,kayak.png
45,n_hammock.mp3,A,training,famfam,hammock.png,tassel.png
46,n_buckle.mp3,A,training,famfam,buckle.png,hardhat.png
47,n_puppet.mp3,A,training,famfam,puppet.png,saddle.png
48,n_pigeon.mp3,A,training,famfam,pigeon.png,locker.png
49,n_mammoth.mp3,A,training,famfam,mammoth.png,fishhook.png
50,n_slingshot.mp3,A,training,famfam,slingshot.png,earmuff.png
51,n_anchor.mp3,A,training,famfam,anchor.png,barrel.png
52,n_seaweed.mp3,A,training,famfam,seaweed.png,wagon.png
53,n_pickaxe.mp3,A,training,famfam,pickaxe.png,snorkel.png
54,n_barstool.mp3,A,training,famfam,barstool.png,sculpture.png
55,n_naysis.mp3,A,training,unfamfam,naysis.png,cello.png
56,n_crambo.mp3,A,training,unfamfam,crambo.png,treadmill.png
57,n_boga.mp3,A,training,unfamfam,boga.png,scalpel.png
58,n_staper.mp3,A,training,unfamfam,staper.png,coatrack.png
59,n_stamzee.mp3,A,training,unfamfam,stamzee.png,corkscrew.png
60,n_kobber.mp3,A,training,unfamfam,kobber.png,mattress.png
